,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
827,Ravi Bishnoi,4,0,23,2,5.75,10,1,1,0,0
828,Yash Thakur,3,0,31,2,10.33,9,1,3,3,0
829,Jason Behrendorff,3,0,36,0,12.00,7,4,2,3,0
830,Cameron Green,1,0,2,0,2.00,4,0,0,0,0
831,Chris Jordan,4,0,42,1,10.50,6,5,1,1,0
832,Akash Madhwal,4,0,37,4,9.25,7,4,1,0,1
833,Piyush Chawla,4,0,39,0,9.75,4,3,2,0,0
834,Kumar Kartikeya,4,0,39,0,9.75,6,4,1,1,0
835,Bhuvneshwar Kumar,4,0,26,1,6.50,8,3,0,0,0
836,Nitish Kumar Reddy,3,0,35,0,11.66,7,1,4,0,0
837,Mayank Dagar,4,0,37,1,9.25,9,4,2,0,0
838,Kartik Tyagi,2.5,0,41,0,14.47,4,6,1,0,3
839,Umran Malik,3,0,41,0,13.66,3,7,1,0,0
840,Vivrant Sharma,1,0,19,0,19.00,1,0,2,1,1
841,Aiden Markram,0.1,0,1,0,6.00,0,0,0,0,0
842,Mohammed Shami,4,0,39,1,9.75,9,7,0,1,0
843,Yash Dayal,4,0,39,1,9.75,7,5,1,0,0
844,Rashid Khan,4,0,24,1,6.00,5,1,0,0,0
845,Noor Ahmad,4,0,39,2,9.75,6,4,1,2,0
846,Mohit Sharma,4,0,54,0,13.50,2,8,1,2,0
847,Mohammed Siraj,4,0,32,2,8.00,11,2,2,2,0
848,Wayne Parnell,3.1,0,42,0,13.26,7,6,2,1,1
849,Vijaykumar Vyshak,4,0,40,1,10.00,6,2,2,2,0
850,Himanshu Sharma,3,0,28,0,9.33,4,3,1,0,0
851,Harshal Patel,4,0,29,1,7.25,11,2,1,2,0
852,Michael Bracewell,1,0,16,0,16.00,2,0,2,0,0
853,Mohammed Shami,4,0,28,2,7.00,10,2,1,0,1
854,Darshan Nalkande,4,0,44,1,11.00,9,4,2,0,1
855,Rashid Khan,4,0,37,1,9.25,5,2,1,0,0
856,Noor Ahmad,4,0,29,1,7.25,6,3,0,0,0
857,Mohit Sharma,4,0,31,2,7.75,4,3,0,0,0
858,Deepak Chahar,4,0,29,2,7.25,10,2,1,3,0
859,Tushar Deshpande,4,0,43,1,10.75,11,6,2,2,0
860,Maheesh Theekshana,4,0,28,2,7.00,8,1,1,0,0
861,Ravindra Jadeja,4,0,18,2,4.50,12,2,0,0,0
862,Matheesha Pathirana,4,0,37,2,9.25,9,2,1,7,0
863,Krunal Pandya,4,0,38,0,9.50,7,5,1,0,0
864,Krishnappa Gowtham,1,0,8,0,8.00,4,2,0,0,0
865,Naveen-ul-Haq,4,0,38,4,9.50,10,3,2,3,0
866,Yash Thakur,4,0,34,3,8.50,12,3,2,2,0
867,Mohsin Khan,3,0,24,1,8.00,9,1,2,0,0
868,Ravi Bishnoi,4,0,30,0,7.50,4,1,1,1,0
869,Jason Behrendorff,3,0,21,0,7.00,7,3,0,0,0
870,Akash Madhwal,3.3,0,5,5,1.42,17,0,0,0,0
871,Chris Jordan,2,1,7,1,3.50,9,1,0,0,0
872,Cameron Green,3,0,15,0,5.00,7,1,0,0,0
873,Hrithik Shokeen,1,0,18,0,18.00,1,2,1,1,0
874,Piyush Chawla,4,0,28,1,7.00,9,2,1,2,0
875,Jason Behrendorff,4,0,28,0,7.00,8,4,0,0,0
876,Cameron Green,3,0,35,0,11.66,4,3,2,0,0
877,Akash Madhwal,4,0,52,1,13.00,7,3,4,0,2
878,Chris Jordan,4,0,56,0,14.00,6,6,3,4,0
879,Piyush Chawla,3,0,45,1,15.00,0,2,3,1,0
880,Kumar Kartikeya,2,0,15,0,7.50,2,0,1,0,0
881,Mohammed Shami,3,0,41,2,13.66,6,6,2,0,0
882,Hardik Pandya,2,0,24,0,12.00,4,3,1,1,0
883,Rashid Khan,4,0,33,2,8.25,8,5,0,1,0
884,Noor Ahmad,4,0,35,0,8.75,8,1,2,1,1
885,Josh Little,3,0,26,1,8.66,6,2,1,1,0
886,Mohit Sharma,2.2,0,10,5,4.28,9,0,1,0,0
887,Deepak Chahar,4,0,38,1,9.50,5,3,1,0,0
888,Tushar Deshpande,4,0,56,0,14.00,4,7,3,0,0
889,Maheesh Theekshana,4,0,36,0,9.00,8,3,2,0,0
890,Ravindra Jadeja,4,0,38,1,9.50,3,3,1,0,0
891,Matheesha Pathirana,4,0,44,2,11.00,7,4,2,2,0
892,Mohammed Shami,3,0,29,0,9.66,5,4,0,0,0
893,Hardik Pandya,1,0,14,0,14.00,1,1,1,1,0
894,Rashid Khan,3,0,44,0,14.66,2,4,3,0,0
895,Noor Ahmad,3,0,17,2,5.66,6,0,0,3,0
896,Josh Little,2,0,30,0,15.00,1,0,3,0,0
897,Mohit Sharma,3,0,36,3,12.00,4,2,3,0,0
