,BATTING,Dismissal,R,B,M,4s,6s,SR
485,David Miller,c Hooda b Stoinis,6,12,28,0,0,50
486,Rahul Tewatia,not out,2,2,4,0,0,100
487,KL Rahul ,c Yadav b Sharma,68,61,94,8,0,111.47
488,Kyle Mayers,b Rashid Khan,24,19,31,2,1,126.31
489,Krunal Pandya,st € Saha b Noor Ahmad,23,23,36,2,1,100
490,Nicholas Pooran ,c Pandya b Noor Ahmad,1,7,10,0,0,14.28
491,Ayush Badoni,run out (Shankar/Sharma),8,6,22,0,0,133.33
492,Marcus Stoinis,c Miller b Sharma,0,1,2,0,0,0
493,Deepak Hooda,run out (Rashid Khan/€ Saha),2,2,4,0,0,100
494,Prerak Mankad,not out,0,0,4,0,0,-
495,Ravi Bishnoi,not out,0,1,1,0,0,0
496,Matthew Short,c Chawla b Green,11,10,15,2,0,110
497,Prabhsimran Singh,lbw b Tendulkar,26,17,37,1,2,152.94
498,Atharva Taide,b Chawla,29,17,38,3,1,170.58
499,Liam Livingstone,st € Ishan Kishan b Chawla,10,12,12,0,1,83.33
500,Harpreet Singh,b Green,41,28,47,4,2,146.42
501,Sam Curran ,c & b Archer,55,29,51,5,4,189.65
502,Jitesh Sharma ,b Behrendorff,25,7,12,0,4,357.14
503,M Shahrukh Khan,not out,0,0,6,0,0,-
504,Harpreet Brar,run out (Tilak Varma/€ Ishan Kishan),5,2,3,1,0,250
505,Rohit Sharma ,c & b Livingstone,44,27,42,4,3,162.96
506,Ishan Kishan ,c Short b Arshdeep Singh,1,4,7,0,0,25
507,Cameron Green,c Curran b Ellis,67,43,64,6,3,155.81
508,Suryakumar Yadav,c Taide b Arshdeep Singh,57,26,42,7,3,219.23
509,Tim David,not out,25,13,34,0,2,192.3
510,Tilak Varma,b Arshdeep Singh,3,4,14,0,0,75
511,Nehal Wadhera,b Arshdeep Singh,0,1,2,0,0,0
512,Jofra Archer,not out,1,2,4,0,0,50
513,Virat Kohli ,lbw b Boult,0,1,2,0,0,0
514,Faf du Plessis,run out (Jaiswal),62,39,71,8,2,158.97
515,Shahbaz Ahmed,c Jaiswal b Boult,2,4,10,0,0,50
516,Glenn Maxwell,c Holder b Ashwin,77,44,66,6,4,175
517,Mahipal Lomror,c Padikkal b Chahal,8,6,16,1,0,133.33
518,Dinesh Karthik ,c Buttler b Sandeep Sharma,16,13,28,2,0,123.07
519,Suyash Prabhudessai,run out (Jaiswal/€ Samson),0,2,5,0,0,0
520,Wanindu Hasaranga,run out (€ Samson/Sandeep Sharma),6,7,14,0,0,85.71
521,David Willey,not out,4,2,8,1,0,200
522,Vijaykumar Vyshak,c Hetmyer b Sandeep Sharma,0,1,2,0,0,0
523,Mohammed Siraj,not out,1,1,4,0,0,100
524,Yashasvi Jaiswal,c Kohli b Patel,47,37,63,5,2,127.02
525,Jos Buttler,b Mohammed Siraj,0,2,4,0,0,0
526,Devdutt Padikkal,c Kohli b Willey,52,34,48,7,1,152.94
527,Sanju Samson ,c Shahbaz Ahmed b Patel,22,15,22,2,1,146.66
528,Shimron Hetmyer,run out (Prabhudessai),3,9,30,0,0,33.33
529,Dhruv Jurel,not out,34,16,35,2,2,212.5
530,Ravichandran Ashwin,c Prabhudessai b Patel,12,6,14,2,0,200
531,Abdul Basith,not out,1,1,2,0,0,100
532,Ruturaj Gaikwad,b Suyash Sharma,35,20,35,2,3,175
533,Devon Conway,c Wiese b Varun,56,40,56,4,3,140
534,Ajinkya Rahane,not out,71,29,70,6,5,244.82
535,Shivam Dube,c Roy b Khejroliya,50,21,31,2,5,238.09
536,Ravindra Jadeja,c Singh b Khejroliya,18,8,13,0,2,225
537,MS Dhoni ,not out,2,3,4,0,0,66.66
538,Narayan Jagadeesan ,c Jadeja b Deshpande,1,3,9,0,0,33.33
539,Sunil Narine,b Akash Singh,0,3,4,0,0,0
540,Venkatesh Iyer,lbw b Ali,20,20,35,2,1,100
541,Nitish Rana ,c Gaikwad b Jadeja,27,20,38,4,1,135
542,Jason Roy,b Theekshana,61,26,35,5,5,234.61
543,Rinku Singh,not out,53,33,62,3,4,160.6
544,Andre Russell,c Dube b Pathirana,9,6,14,0,1,150
545,David Wiese,lbw b Deshpande,1,2,6,0,0,50
546,Umesh Yadav,c Conway b Theekshana,4,4,8,0,0,100
547,Varun Chakravarthy,not out,0,3,9,0,0,0
548,David Warner ,c Brook b Washington Sundar,21,20,39,2,1,105
549,Phil Salt ,c € Klaasen b Kumar,0,1,4,0,0,0
550,Mitchell Marsh,lbw b Natarajan,25,15,22,5,0,166.66
551,Sarfaraz Khan,c Kumar b Washington Sundar,10,9,16,0,1,111.11
552,Manish Pandey,run out (Washington Sundar/€ Klaasen),34,27,53,2,0,125.92
553,Aman Hakim Khan,c Abhishek Sharma b Washington Sundar,4,2,3,1,0,200
554,Axar Patel,b Kumar,34,34,43,4,0,100
555,Ripal Patel,run out (€ Klaasen),5,6,13,0,0,83.33
556,Anrich Nortje,run out (Umran Malik/€ Klaasen),2,2,7,0,0,100
557,Kuldeep Yadav,not out,4,3,5,1,0,133.33
558,Ishant Sharma,not out,1,1,2,0,0,100
559,Harry Brook,b Nortje,7,14,26,0,0,50
560,Mayank Agarwal,c Aman Hakim Khan b AR Patel,49,39,56,7,0,125.64
561,Rahul Tripathi,c € Salt b Sharma,15,21,37,0,0,71.42
562,Abhishek Sharma,c & b Kuldeep Yadav,5,5,13,0,0,100
563,Aiden Markram ,b AR Patel,3,5,11,0,0,60
564,Heinrich Klaasen ,c Aman Hakim Khan b Nortje,31,19,25,3,1,163.15
565,Washington Sundar,not out,24,15,30,3,0,160
566,Marco Jansen,not out,2,3,11,0,0,66.66
567,Wriddhiman Saha ,c € Ishan Kishan b Tendulkar,4,7,13,0,0,57.14
568,Shubman Gill,c Yadav b Kartikeya,56,34,57,7,1,164.7
569,Hardik Pandya ,c Yadav b Chawla,13,14,23,1,0,92.85
570,Vijay Shankar,c David b Chawla,19,16,27,1,1,118.75
571,David Miller,c Yadav b Behrendorff,46,22,47,2,4,209.09
572,Abhinav Manohar,c Behrendorff b Meredith,42,21,30,3,3,200
573,Rahul Tewatia,not out,20,5,13,0,3,400
574,Rashid Khan,not out,2,1,2,0,0,200
575,Rohit Sharma ,c & b Pandya,2,8,10,0,0,25
576,Ishan Kishan ,c Little b Rashid Khan,13,21,35,1,0,61.9
577,Cameron Green,b Noor Ahmad,33,26,43,0,3,126.92
578,Tilak Varma,lbw b Rashid Khan,2,3,6,0,0,66.66
579,Suryakumar Yadav,c & b Noor Ahmad,23,12,27,3,1,191.66
580,Tim David,c Manohar b Noor Ahmad,0,2,3,0,0,0
581,Nehal Wadhera,c Mohammed Shami b Sharma,40,21,38,3,3,190.47
582,Piyush Chawla,run out (€ Saha/Sharma),18,12,22,1,1,150
583,Arjun Tendulkar,c Little b Sharma,13,9,13,0,1,144.44
584,Jason Behrendorff,not out,3,4,12,0,0,75
585,Riley Meredith,not out,0,2,2,0,0,0
586,Jason Roy,b Vyshak,56,29,50,4,5,193.1
587,Narayan Jagadeesan ,c Willey b Vyshak,27,29,44,4,0,93.1
588,Venkatesh Iyer,c Maxwell b de Silva,31,26,44,3,0,119.23
589,Nitish Rana ,c Vyshak b de Silva,48,21,28,3,4,228.57
590,Andre Russell,b Mohammed Siraj,1,2,10,0,0,50
591,Rinku Singh,not out,18,10,12,2,1,180
592,David Wiese,not out,12,3,5,0,2,400
