,BATTING,Dismissal,R,B,M,4s,6s,SR
1107,Anuj Rawat ,not out,23,15,30,1,1,153.33
1108,Wriddhiman Saha ,c Parnell b Mohammed Siraj,12,14,15,2,0,85.71
1109,Shubman Gill,not out,104,52,97,5,8,200
1110,Vijay Shankar,c Kohli b Vyshak,53,35,53,7,2,151.42
1111,Dasun Shanaka,c sub (SS Prabhudessai) b Patel,0,3,5,0,0,0
1112,David Miller,c sub (SS Prabhudessai) b Mohammed Siraj,6,7,12,1,0,85.71
1113,Rahul Tewatia,not out,4,5,12,0,0,80
1114,Ruturaj Gaikwad,c Miller b Sharma,60,44,48,7,1,136.36
1115,Devon Conway,c Rashid Khan b Mohammed Shami,40,34,74,4,0,117.64
1116,Shivam Dube,b Noor Ahmad,1,3,4,0,0,33.33
1117,Ajinkya Rahane,c Shubman Gill b Nalkande,17,10,15,0,1,170
1118,Ambati Rayudu,c Shanaka b Rashid Khan,17,9,15,1,1,188.88
1119,Ravindra Jadeja,b Mohammed Shami,22,16,25,2,0,137.5
1120,MS Dhoni ,c Pandya b Sharma,1,2,4,0,0,50
1121,Moeen Ali,not out,9,4,7,0,1,225
1122,Wriddhiman Saha ,c Pathirana b Chahar,12,11,14,2,0,109.09
1123,Shubman Gill,c Conway b Chahar,42,38,58,4,1,110.52
1124,Hardik Pandya ,c Jadeja b Theekshana,8,7,12,1,0,114.28
1125,Dasun Shanaka,c Theekshana b Jadeja,17,16,12,1,1,106.25
1126,David Miller,b Jadeja,4,6,11,0,0,66.66
1127,Vijay Shankar,c Gaikwad b Pathirana,14,10,30,0,1,140
1128,Rahul Tewatia,b Theekshana,3,5,8,0,0,60
1129,Rashid Khan,c Conway b Deshpande,30,16,26,3,2,187.5
1130,Darshan Nalkande,run out (sub [SP Senapati]),0,1,1,0,0,0
1131,Noor Ahmad,not out,7,5,14,1,0,140
1132,Mohammed Shami,c Chahar b Pathirana,5,5,8,1,0,100
1133,Ishan Kishan ,c € Pooran b Yash Thakur,15,12,18,3,0,125
1134,Rohit Sharma ,c Badoni b Naveen-ul-Haq,11,10,11,1,1,110
1135,Cameron Green,b Naveen-ul-Haq,41,23,38,6,1,178.26
1136,Suryakumar Yadav,c Gowtham b Naveen-ul-Haq,33,20,29,2,2,165
1137,Tilak Varma,c Hooda b Naveen-ul-Haq,26,22,43,0,2,118.18
1138,Tim David,c Hooda b Yash Thakur,13,13,29,1,0,100
1139,Nehal Wadhera,c Ravi Bishnoi b Yash Thakur,23,12,23,2,2,191.66
1140,Chris Jordan,c Hooda b Mohsin Khan,4,7,7,0,0,57.14
1141,Hrithik Shokeen,not out,0,1,6,0,0,0
1142,Kyle Mayers,c Green b Jordan,18,13,18,3,0,138.46
1143,Prerak Mankad,c Shokeen b Madhwal,3,6,9,0,0,50
1144,Krunal Pandya ,c David b Chawla,8,11,35,1,0,72.72
1145,Marcus Stoinis,run out (David/€ Ishan Kishan),40,27,45,5,1,148.14
1146,Ayush Badoni,b Madhwal,1,7,6,0,0,14.28
1147,Nicholas Pooran ,c € Ishan Kishan b Madhwal,0,1,1,0,0,0
1148,Deepak Hooda,run out (Green/Madhwal/Sharma),15,13,26,0,1,115.38
1149,Krishnappa Gowtham,run out (Sharma),2,3,3,0,0,66.66
1150,Ravi Bishnoi,c Jordan b Madhwal,3,6,8,0,0,50
1151,Naveen-ul-Haq,not out,1,5,10,0,0,20
1152,Mohsin Khan,b Madhwal,0,7,8,0,0,0
1153,Wriddhiman Saha ,st € Ishan Kishan b Chawla,18,16,31,3,0,112.5
1154,Shubman Gill,c David b Madhwal,129,60,86,7,10,215
1155,Sai Sudharsan,retired out,43,31,68,5,1,138.7
1156,Hardik Pandya ,not out,28,13,20,2,2,215.38
1157,Rashid Khan,not out,5,2,6,1,0,250
1158,Rohit Sharma ,c Little b Mohammed Shami,8,7,17,1,0,114.28
1159,Nehal Wadhera,c € Saha b Mohammed Shami,4,3,3,1,0,133.33
1160,Cameron Green,b Little,30,20,54,2,2,150
1161,Suryakumar Yadav,b Sharma,61,38,61,7,2,160.52
1162,Tilak Varma,b Rashid Khan,43,14,17,5,3,307.14
1163,Vishnu Vinod ,c Pandya b Sharma,5,7,19,0,0,71.42
1164,Tim David,lbw b Rashid Khan,2,3,6,0,0,66.66
1165,Chris Jordan,c Sai Sudharsan b Sharma,2,5,7,0,0,40
1166,Piyush Chawla,c Miller b Sharma,0,2,5,0,0,0
1167,Kumar Kartikeya,c Miller b Sharma,6,7,10,1,0,85.71
1168,Jason Behrendorff,not out,3,5,8,0,0,60
1169,Wriddhiman Saha ,c € Dhoni b Chahar,54,39,63,5,1,138.46
1170,Shubman Gill,st € Dhoni b Jadeja,39,20,34,7,0,195
1171,Sai Sudharsan,lbw b Pathirana,96,47,58,8,6,204.25
1172,Hardik Pandya ,not out,21,12,32,0,2,175
1173,Rashid Khan,c Gaikwad b Pathirana,0,2,2,0,0,0
1174,Ruturaj Gaikwad,c Rashid Khan b Noor Ahmad,26,16,30,3,1,162.5
1175,Devon Conway,c Sharma b Noor Ahmad,47,25,34,4,2,188
1176,Shivam Dube,not out,32,21,49,0,2,152.38
1177,Ajinkya Rahane,c Shankar b Sharma,27,13,20,2,2,207.69
1178,Ambati Rayudu,c & b Sharma,19,8,8,1,2,237.5
1179,MS Dhoni ,c Miller b Sharma,0,1,1,0,0,0
1180,Ravindra Jadeja,not out,15,6,14,1,1,250
